ticker,price,sma50,sma150,sma200,high_52w,low_52w,return_3m,return_6m,return_9m,return_12m,k_ratio,rs_rating,stage2,gates_passed,g1_price_above_150_200,g2_sma150_above_sma200,g3_sma200_trending_up,g4_sma50_above_150_200,g5_price_above_sma50,g6_30pct_above_52w_low,g7_within_25pct_of_52w_high,g8_rs_rating_ge_70,name,sector,country,currency,index,dist_from_high,rank_rs,rank_prox,rank_1yr,rank_k,composite,rank_overall
DRTS,15.029999732971191,13.296400032043458,9.926400019327799,8.783350013494491,15.029999732971191,3.4700000286102295,0.6074865368731275,1.344773805110028,2.8737111571289,3.3065901695989535,59.76127531824738,98.3,True,8,True,True,True,True,True,True,True,True,Alpha Tau Medical Ltd.,Health Care,US,USD,US $1bn+,0.0,0.9698660714285714,0.9375,0.96875,0.9709821428571429,0.9617745535714285,1
CMCX.L,765.0,695.8970513916015,478.4134533691406,433.84727630615237,765.0,205.93775939941406,0.6453541484551635,1.376054958555208,1.6291742401438167,2.423853150109702,46.16541049898582,97.7,True,8,True,True,True,True,True,True,True,True,CMC Markets Plc,Financial Services,UK,GBp,UK $1bn+,0.0,0.9542410714285714,0.9375,0.9464285714285714,0.8705357142857143,0.9271763392857143,2
ECO,71.43000030517578,59.31453063964844,52.0015465037028,47.559819288253784,71.43000030517578,26.256080627441406,0.4962295306620066,0.5559088478247791,1.10678440540747,1.7728493067190367,58.58066658437576,96.2,True,8,True,True,True,True,True,True,True,True,Okeanis Eco Tankers Corp.,Consumer Discretionary,US,USD,US $1bn+,0.0,0.9029017857142857,0.9375,0.9040178571428571,0.9620535714285714,0.9266183035714286,3
INSW,104.5,92.095400390625,78.35795280456543,70.73334453582764,104.5,39.0138053894043,0.36419201917693855,0.5746686757826454,1.2141293925768037,1.5607913928992523,69.10721000296826,95.7,True,8,True,True,True,True,True,True,True,True,"International Seaways, Inc.",Consumer Discretionary,US,USD,US $1bn+,0.0,0.8850446428571429,0.9375,0.8816964285714286,0.9888392857142857,0.9232700892857142,4
CLMT,53.130001068115234,43.73059997558594,35.53626673380534,31.643150024414062,53.5,17.270000457763672,0.5106626054654841,0.7476974254871347,1.706571744246594,2.117957641639657,60.98171517557199,97.3,True,8,True,True,True,True,True,True,True,True,"Calumet, Inc.",Energy,US,USD,US $1bn+,0.0069158678856965534,0.9419642857142857,0.8035714285714286,0.9352678571428571,0.9776785714285714,0.9146205357142858,5
VLO,370.7200012207031,314.9125115966797,260.83911966959636,239.30064102172852,370.7200012207031,154.46533203125,0.44914389260752197,0.6503583366527748,1.1066776083867174,1.415466257797409,57.23278986639179,95.7,True,8,True,True,True,True,True,True,True,True,Valero Energy Corporation,Energy,US,USD,US $1bn+,0.0,0.8850446428571429,0.9375,0.8660714285714286,0.9598214285714286,0.912109375,6
APGE,135.07000732421875,134.03500030517577,96.92170000712076,91.25132493972778,135.07000732421875,36.369998931884766,0.7032787153370066,0.904674689141042,0.9188806434921231,2.6884219351141017,36.30819726165305,97.4,True,8,True,True,True,True,True,True,True,True,"Apogee Therapeutics, Inc.",Health Care,US,USD,US $1bn+,0.0,0.9464285714285714,0.9375,0.9575892857142857,0.7209821428571429,0.890625,7
NAT,7.25,6.424399995803833,5.608659372329712,5.0726494634151456,7.25,2.863475799560547,0.40310671494310046,0.3875827542898258,1.0850842513477685,1.414307984665593,51.5423485259426,94.8,True,8,True,True,True,True,True,True,True,True,Nordic American Tankers Limited,Consumer Discretionary,US,USD,US $1bn+,0.0,0.8504464285714286,0.9375,0.8638392857142857,0.9107142857142857,0.890625,8
MRX,78.2699966430664,66.97409950256348,54.56912274678548,50.342775115966795,78.2699966430664,27.916006088256836,0.42025033163154424,1.2112548051228922,1.1305738549079702,1.2278671098221334,49.93609299067027,96.1,True,8,True,True,True,True,True,True,True,True,Marex Group Limited,Finance,US,USD,US $1bn+,0.0,0.8984375,0.9375,0.8236607142857143,0.8995535714285714,0.8897879464285714,9
CMBT,19.489999771118164,16.339800052642822,14.339913387298584,13.265531826019288,19.489999771118164,8.532326698303223,0.3186738919649581,0.5746845641162397,0.8591804966749121,1.2766734598982108,54.145701832122235,93.9,True,8,True,True,True,True,True,True,True,True,Cmb.Tech NV,Consumer Discretionary,US,USD,US $1bn+,0.0,0.8180803571428571,0.9375,0.8303571428571429,0.9285714285714286,0.8786272321428572,10
MATX,225.58999633789062,211.77743377685547,185.96477091471354,171.23106815338136,225.58999633789062,87.3958511352539,0.20430273071382654,0.4774355362422886,0.9843501692250864,1.17720597368977,58.65144143336418,92.8,True,8,True,True,True,True,True,True,True,True,"Matson, Inc.",Consumer Discretionary,US,USD,US $1bn+,0.0,0.7734375,0.9375,0.8013392857142857,0.9642857142857143,0.869140625,11
FRO,46.119998931884766,39.825999908447265,35.73654796600342,32.380643110275265,46.119998931884766,19.114540100097656,0.36847204159040503,0.4368025047970343,1.1040632426007821,1.2809319610478291,44.29824274424076,94.4,True,8,True,True,True,True,True,True,True,True,Frontline plc,Consumer Discretionary,US,USD,US $1bn+,0.0,0.8337053571428571,0.9375,0.8325892857142857,0.8571428571428571,0.865234375,12
MT,78.73999786376953,69.50448760986328,63.59258611043294,59.23974138259888,78.73999786376953,33.382911682128906,0.17155183657725437,0.42474655295872155,0.8390305317184201,1.397021597701782,43.781990635658346,92.7,True,8,True,True,True,True,True,True,True,True,ArcelorMittal S.A.,Industrials,US,USD,US $1bn+,0.0,0.7700892857142857,0.9375,0.8571428571428571,0.8482142857142857,0.8532366071428571,13
SEPL.L,728.0,587.4552465820312,526.2068766276042,464.786484375,735.0,246.92544555664062,0.2816901408450705,0.6779257537796246,1.9070648741205574,1.8848087756818512,40.28784062145654,96.8,True,8,True,True,True,True,True,True,True,True,Seplat Energy Plc,Energy,UK,GBp,UK $1bn+,0.009523809523809525,0.9207589285714286,0.765625,0.9151785714285714,0.7991071428571429,0.8501674107142857,14
DELL,524.1400146484375,439.43979919433593,295.926869354248,253.1119958114624,524.1400146484375,110.7273941040039,0.32898905951171264,2.5893076165750375,2.9516716299297765,3.1836537833827174,27.776134347949892,98.5,True,8,True,True,True,True,True,True,True,True,Dell Technologies Inc.,Technology,US,USD,US $1bn+,0.0,0.9787946428571429,0.9375,0.9665178571428571,0.49330357142857145,0.8440290178571429,15
BVC,15.520000457763672,11.959900016784667,10.30151335398356,8.874490006864072,15.520000457763672,0.6309999823570251,0.536633650651926,1.06630277387679,14.67676798813976,22.47957661766642,24.096576459772063,99.0,True,8,True,True,True,True,True,True,True,True,BitVentures Limited,Technology,US,USD,US $1bn+,0.0,0.9988839285714286,0.9375,0.9977678571428571,0.40625,0.8351004464285714,16
